2022-03-13T23:11:42.613040900+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:42.613768+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:42.614213+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:42.614620400+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:42.614968800+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:43.133096800+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:43.133273+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:50.632865500+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:50.633080800+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:50.633661600+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:50.634290900+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:50.635362400+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:50.635719800+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:50.636196700+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:50.636337800+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:50.636837+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:50.637325500+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:50.637538200+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:50.637805300+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:50.638350400+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:50.638613900+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:51.051361700+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:51.051561700+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:51.051687100+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:51.051802500+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:51.392954800+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:51.393158200+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:51.652797200+08:00 - transfer tcp packet error, tun not supported udp
